Date,Segment,Region,Deal_Value_Billion,Revenue_Growth_Pct,EBITDA_Margin_Pct,Rule_of_X,Deal_Type
2025-08-22,Biopharma,Europe,0.21,9.5,13.0,22.5,Carve-out
2025-04-06,Biopharma,Europe,0.038,10.6,13.8,24.4,Carve-out
2025-07-24,Biopharma,North America,0.004,10.4,5.2,15.6,Carve-out
2025-05-28,Biopharma,North America,0.229,12.9,19.2,32.1,Carve-out
2025-08-16,Biopharma,North America,0.442,7.0,8.8,15.8,Sponsor-to-Sponsor
2025-03-30,Biopharma,Asia-Pacific,0.305,10.7,28.5,39.2,Take-Private
2025-05-31,Biopharma,Europe,0.903,12.6,17.7,30.3,Sponsor-to-Sponsor
2025-04-22,Biopharma,North America,0.035,8.0,18.0,25.9,Buyout
2025-08-24,Biopharma,North America,0.211,15.3,17.5,32.8,Sponsor-to-Sponsor
2025-11-07,Biopharma,North America,1.364,13.5,20.7,34.2,Carve-out
2025-07-09,Biopharma,Europe,0.306,7.1,17.2,24.3,Buyout
2025-03-02,Biopharma,Europe,2.7,14.9,22.7,37.6,Carve-out
2025-11-05,Biopharma,North America,0.203,13.2,13.2,26.4,Buyout
2025-09-07,Biopharma,North America,0.181,6.6,21.7,28.2,Take-Private
2025-07-30,Biopharma,Europe,0.014,12.4,10.7,23.1,Buyout
2025-03-21,Biopharma,North America,0.089,11.2,15.2,26.4,Sponsor-to-Sponsor
2025-08-07,Biopharma,Europe,0.325,13.1,12.7,25.7,Sponsor-to-Sponsor
2025-09-10,Biopharma,North America,0.225,13.0,9.0,22.0,Buyout
2025-10-10,Biopharma,North America,0.556,9.4,11.4,20.7,Buyout
2025-10-24,Biopharma,Europe,0.257,9.3,17.2,26.5,Take-Private
2025-01-03,Biopharma,North America,0.098,11.1,9.4,20.6,Sponsor-to-Sponsor
2025-09-16,Biopharma,Europe,0.147,9.9,10.4,20.3,Take-Private
2025-04-13,Biopharma,North America,0.034,8.1,17.4,25.5,Sponsor-to-Sponsor
2025-01-05,Biopharma,Europe,0.217,12.0,17.5,29.6,Take-Private
2025-11-17,Biopharma,Europe,0.363,10.7,15.7,26.4,Buyout
2025-08-02,Biopharma,Asia-Pacific,0.232,9.7,10.1,19.8,Sponsor-to-Sponsor
2025-07-23,Biopharma,Europe,0.208,9.5,4.2,13.8,Carve-out
2025-06-15,Biopharma,Europe,1.72,10.6,9.9,20.5,Buyout
2025-11-04,Biopharma,North America,0.729,7.6,15.0,22.6,Carve-out
2025-08-26,Biopharma,North America,0.547,5.5,16.4,21.9,Take-Private
2025-01-14,Biopharma,Europe,0.006,10.8,14.0,24.8,Take-Private
2025-05-15,Biopharma,Europe,1.747,8.3,19.6,27.9,Take-Private
2025-06-05,Biopharma,North America,0.358,10.9,12.6,23.5,Carve-out
2025-06-16,Biopharma,North America,0.111,9.4,18.9,28.3,Take-Private
2025-06-26,Biopharma,North America,0.911,9.5,14.5,24.0,Buyout
2025-05-16,Biopharma,North America,0.094,11.0,12.3,23.4,Buyout
2025-06-30,Biopharma,Asia-Pacific,0.18,7.3,14.7,22.0,Take-Private
2025-08-18,Biopharma,Asia-Pacific,1.1,6.6,5.7,12.2,Take-Private
2025-06-25,Biopharma,Europe,0.177,7.7,12.7,20.5,Carve-out
2025-06-20,Biopharma,North America,1.642,10.4,19.5,29.9,Take-Private
2025-03-24,Biopharma,Europe,0.091,12.1,25.3,37.4,Carve-out
2025-01-12,Biopharma,Europe,0.66,13.5,18.5,32.0,Buyout
2025-02-18,Biopharma,Asia-Pacific,0.208,5.2,10.8,16.0,Buyout
2025-05-30,Biopharma,North America,0.269,5.0,5.2,10.2,Sponsor-to-Sponsor
2025-03-03,Biopharma,North America,0.483,4.5,21.1,25.6,Sponsor-to-Sponsor
2025-05-24,Biopharma,North America,0.711,14.4,13.1,27.5,Take-Private
2025-01-25,Biopharma,North America,0.674,10.6,20.0,30.6,Take-Private
2025-03-07,Biopharma,Asia-Pacific,0.264,11.0,10.6,21.6,Take-Private
2025-01-16,Biopharma,North America,0.047,11.3,16.0,27.3,Carve-out
2025-11-20,Biopharma,Europe,0.155,11.1,14.5,25.6,Buyout
2025-04-28,Biopharma,Asia-Pacific,2.383,5.5,18.3,23.8,Buyout
2025-10-28,Biopharma,Asia-Pacific,0.292,10.2,11.4,21.6,Sponsor-to-Sponsor
2025-09-22,Biopharma,North America,0.023,11.9,15.4,27.3,Sponsor-to-Sponsor
2025-10-20,Biopharma,North America,0.164,13.8,16.6,30.5,Carve-out
2025-03-02,Biopharma,North America,0.24,8.5,11.5,20.0,Carve-out
2025-10-30,Biopharma,Europe,0.051,12.0,14.9,26.9,Take-Private
2025-02-02,Biopharma,North America,3.307,12.7,15.4,28.1,Sponsor-to-Sponsor
2025-04-22,Biopharma,North America,0.988,8.0,18.9,26.9,Sponsor-to-Sponsor
2025-10-06,Biopharma,North America,0.703,7.8,20.5,28.3,Carve-out
2025-07-26,Biopharma,Europe,0.85,10.2,9.1,19.4,Carve-out
2025-01-11,Biopharma,Europe,0.437,10.7,11.8,22.5,Carve-out
2025-05-17,Biopharma,North America,0.02,13.5,16.3,29.7,Carve-out
2025-06-23,Biopharma,North America,0.061,9.9,18.6,28.5,Take-Private
2025-09-25,Biopharma,North America,0.92,6.1,17.6,23.7,Buyout
2025-08-15,Biopharma,Europe,0.069,6.8,13.3,20.1,Buyout
2025-07-28,Biopharma,Asia-Pacific,0.019,14.4,10.8,25.2,Buyout
2025-04-29,Biopharma,Asia-Pacific,0.072,9.1,21.4,30.5,Sponsor-to-Sponsor
